"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"291","5751","5662","None",2019-11-06,0,1,2,0,7,"yes"
"292","5745","5662","None",2019-11-06,0.05,1,4,1,19,"yes"
"293","6250","5662","None",2019-11-18,0,1,1,0,3,"yes"
"294","6238","5662","None",2019-11-17,0,1,1,0,16,"yes"
"295","5667","5662","unknown_3641",2019-11-08,0,0.25,4,0,8,"yes"
"296","5761","5662","None",2019-12-10,0,0,1,0,12,"yes"
"297","5778","5662","None",2019-11-23,0,0,2,0,18,"yes"
"298","6246","5662","None",2019-11-09,0,0,2,0,8,"yes"
"299","5744","5662","unknown_3641",2019-11-16,0,0.5,4,0,18,"yes"
"300","6029","5662","Washingtonia_359",2019-11-21,0,0.4,5,0,9,"yes"
"301","6240","5662","None",2019-12-04,0,0,2,0,8,"yes"
"302","5599","5666","None",2019-09-24,0,0,1,0,30,"no"
"303","5751","5667","None",2019-11-07,0,0.86,7,0,6,"yes"
"304","5745","5667","None",2019-11-06,0,0.38,8,0,19,"yes"
"305","6039","5667","None",2019-11-06,0.2,0.5,2,1,5,"yes"
"306","6026","5667","None",2019-11-06,0.05,0.71,7,1,19,"yes"
"307","5662","5667","unknown_3641",2019-11-08,0,0.75,4,0,6,"yes"
"308","6238","5667","Ficus carica_796",2019-11-18,0,1,2,0,10,"yes"
"309","5761","5667","None",2019-12-06,0,1,1,0,14,"yes"
"310","5778","5667","unknown_91",2019-11-20,0.09,0.5,4,1,11,"yes"
"311","6246","5667","None",2019-11-07,0,0.5,4,0,13,"yes"
"312","5744","5667","unknown_3641",2019-11-06,0,0.36,11,0,10,"yes"
"313","6027","5667","None",2019-11-08,0,0.5,2,0,8,"yes"
"314","5677","5672","unknown_2591",2019-02-08,0.17,0.29,7,1,6,"yes"
"315","5679","5672","Citrus_5",2019-02-09,0.12,0.25,4,1,8,"yes"
"316","5680","5672","Citrus_5",2019-02-08,0.25,0,3,1,4,"yes"
"317","5594","5672","unknown_2631",2019-02-08,0,0.6,5,0,3,"yes"
"318","5600","5672","Citrus_5",2019-02-09,0,0,1,0,9,"yes"
"319","5679","5677","unknown_2591",2019-02-10,0,0.2,5,0,14,"yes"
"320","5594","5677","unknown_2631",2019-02-16,0.25,0.6,5,1,4,"yes"
"321","5600","5677","None",2019-02-10,0.08,1,1,1,13,"yes"
"322","5661","5677","unknown_2631",2019-02-16,0,1,2,0,2,"yes"
"323","5660","5677","unknown_2631",2019-02-16,0.5,1,3,1,2,"yes"
"324","5058","5679","None",2019-02-08,0,1,1,0,4,"no"
"325","5677","5679","unknown_2591",2019-02-10,0,0.8,5,0,5,"yes"
"326","5680","5679","Citrus_5",2019-02-09,0,1,2,0,4,"yes"
"327","5594","5679","unknown_2631",2019-02-17,0.17,0.33,3,1,6,"yes"
"328","5600","5679","Citrus_5",2019-02-11,0,1,1,0,30,"yes"
"329","5661","5679","unknown_2631",2019-02-17,0,1,1,0,2,"yes"
"330","5679","5680","Citrus_5",2019-02-09,0,0,2,0,8,"yes"
"331","5594","5680","unknown_2631",2019-02-08,0,0.67,3,0,3,"yes"
"332","5600","5680","Citrus_5",2019-02-08,0,0,1,0,14,"yes"
"333","5749","5684","None",2019-11-07,0,0,1,0,2,"no"
"334","6245","5684","unknown_1438",2019-11-08,0,0,1,0,3,"yes"
"335","5771","5684","None",2019-11-08,0,0,1,0,6,"no"
"336","6258","5684","None",2019-11-10,0.08,1,2,1,12,"yes"
"337","6181","5684","Melia azedarach_702",2019-11-07,0.05,0.5,6,1,21,"yes"
"338","5781","5684","Citrus_5",2019-11-07,0.14,0.2,5,1,7,"yes"
"339","6263","5684","Citrus_12",2019-11-10,0,1,3,0,10,"yes"
"340","6266","5684","Citrus_5",2019-11-07,0,0,1,0,2,"no"
"341","6250","5684","unknown_1431",2019-11-07,0.07,0.5,2,1,15,"yes"
"342","5735","5684","Citrus_12",2019-11-10,0,0.5,2,0,7,"yes"
"343","6238","5684","None",2019-11-15,0,0,1,0,10,"no"
"344","6267","5684","None",2019-11-08,0,0,1,0,16,"no"
"345","5761","5684","None",2019-11-10,0,0,2,0,2,"no"
